endTime,artistName,trackName,msPlayed;
2020-09-20 08:45,Conan Gray,Wish You Were Sober,112613;
2020-09-21 19:56,Jeremy Zucker,always i'll care,114411;
2020-09-22 10:00,Master KG,Jerusalema (feat. Nomcebo Zikode),342612;
2020-09-22 10:07,Jawsh 685,Savage Love (Laxed - Siren Beat),171374;
2020-09-22 10:10,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),156960;
2020-09-22 10:13,Robin Schulz,Alane,175016;
2020-09-22 10:17,Bakermat,BaianÃ¡,182186;
2020-09-22 10:20,Lucenzo,No me ama,167474;
2020-09-22 10:22,Aya Nakamura,Jolie nana,147076;
2020-09-22 10:26,Anitta,Me Gusta (with Cardi B & Myke Towers),180788;
2020-09-22 10:28,Lucky Luke,Cooler Than Me,75567;
2020-09-22 15:50,Lucky Luke,Cooler Than Me,104194;
2020-09-22 15:53,KAROL G,Tusa,200960;
2020-09-22 15:56,Jason Derulo,Take You Dancing,190306;
2020-09-22 16:00,CRISPIE,Ladida (My Heart Goes Boom),173333;
2020-09-22 16:01,ItaloBrothers,Summer Air,42877;
2020-09-23 15:17,ItaloBrothers,Summer Air,140972;
2020-09-23 15:21,Black Eyed Peas,MAMACITA,251428;
2020-09-23 15:24,DaBaby,ROCKSTAR (feat. Roddy Ricch),181733;
2020-09-23 15:28,Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,210328;
2020-09-23 15:31,Wejdene,Coco,167997;
2020-09-23 15:33,JubÃ«l Dancing In The Moonlight (feat. NEIMY),164009;
2020-09-23 15:37,Doja Cat,Say So,237893;
2020-09-23 15:41,Maluma,HawÃ¡i,200197;
2020-09-23 15:44,Nea,Some Say - Felix Jaehn Remix,186878;
2020-09-23 15:47,Joel Corry,Head & Heart (feat. MNEK),166028;
2020-09-23 15:48,Major Lazer,Lay Your Head On Me - Joel Corry Remix,52279;
2020-09-23 16:31,Major Lazer,Lay Your Head On Me - Joel Corry Remix,115246;
2020-09-23 16:34,Lady Gaga,Rain On Me (with Ariana Grande),182200;
2020-09-23 16:36,Calvin Harris,Promises (with Sam Smith),68785;
2020-09-23 16:56,Calvin Harris,Promises (with Sam Smith),144578;
